user_id,recharge_frequency,bill_payment_regularity,upi_transaction_count,wallet_usage_score,monthly_savings_pct,ecommerce_frequency,bank_balance_stability,monthly_income,credit_score,risk_profile,recommended_allocation
SU0001,12,43.01,93,47.6,14.65,27,46.78,24807,585,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0002,14,35.13,98,48.19,21.31,41,51.97,109553,602,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0003,21,59.51,124,61.93,24.52,36,69.9,102352,687,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0004,14,57.52,94,63.14,21.99,34,64.18,63099,627,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0005,21,51.14,110,62.15,25.46,41,70.02,120749,654,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0006,20,76.1,136,73.79,32.48,40,81.44,80638,691,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0007,15,52.54,79,51.91,9.33,36,47.45,26109,537,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0008,9,27.21,72,36.94,13.11,15,67.52,74743,504,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0009,21,70.72,103,77.89,29.64,44,47.55,53251,668,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0010,20,54.62,158,85.33,38.63,43,70.31,98405,746,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0011,8,40.82,66,39.73,16.9,19,48.17,59346,545,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0012,12,68.68,115,54.32,27.33,26,61.51,82739,642,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0013,21,91.31,128,66.53,31.95,42,82.76,124853,790,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0014,12,50.56,78,45.35,18.05,25,54.76,80346,554,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0015,17,64.69,133,68.59,29.36,28,42.7,105881,662,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0016,11,36.09,98,51.9,16.18,24,61.52,40788,567,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0017,6,30.37,88,42.97,9.11,17,30.95,56603,513,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0018,11,47.82,81,32.24,14.11,29,57.33,22839,558,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0019,20,50.95,139,67.66,19.0,37,34.62,120331,641,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0020,17,59.87,94,51.12,22.62,27,55.37,37801,585,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0021,20,86.74,140,53.62,26.29,37,58.65,80603,688,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0022,9,35.25,54,51.0,11.87,19,42.73,19358,533,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0023,17,52.14,130,78.27,24.05,47,69.39,71230,627,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0024,10,27.46,42,44.68,17.54,20,45.3,58966,538,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0025,19,69.47,100,67.33,27.74,33,49.0,71413,677,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0026,20,59.91,121,66.87,19.58,30,59.82,111740,641,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0027,9,34.17,29,42.44,3.59,7,23.24,44929,426,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0028,21,60.18,130,70.86,30.11,41,71.46,77820,754,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0029,13,55.92,104,34.63,12.95,29,59.48,63672,619,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0030,24,78.53,143,96.45,34.86,55,81.92,138135,787,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0031,12,34.4,64,53.41,22.35,30,26.41,82372,540,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0032,23,71.43,135,67.17,37.11,57,76.73,73335,741,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0033,14,23.28,52,26.8,16.0,20,66.59,34549,529,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0034,3,42.61,42,31.17,10.4,11,42.46,47759,452,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0035,20,66.6,129,62.59,36.19,34,31.87,100792,678,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0036,9,28.89,38,29.19,0.0,16,23.2,9291,477,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0037,5,22.51,78,38.08,7.96,16,39.06,61076,467,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0038,22,65.74,133,67.32,34.38,49,74.08,80557,708,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0039,13,44.84,110,36.37,16.92,22,41.66,99071,533,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0040,17,69.78,95,61.53,28.3,37,55.57,94199,664,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0041,16,58.71,122,56.84,25.43,39,70.54,59094,646,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0042,21,55.98,140,64.31,26.45,39,50.91,75135,683,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0043,15,47.95,105,33.41,16.82,24,60.66,51833,551,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0044,6,22.78,28,19.29,3.32,15,17.12,33730,422,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0045,8,48.5,69,41.46,9.47,29,20.85,42486,476,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0046,11,40.95,77,45.05,15.08,16,50.9,25628,543,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0047,21,81.19,133,63.77,27.23,49,56.21,66083,707,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0048,22,81.58,149,59.66,33.98,30,67.73,114211,781,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0049,11,13.41,75,28.23,11.15,17,18.08,45835,465,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0050,14,35.3,92,51.18,21.68,17,70.66,66305,637,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0051,23,72.07,165,82.85,29.38,47,74.69,117903,773,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0052,16,37.37,106,45.49,13.01,23,24.84,55396,582,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0053,16,69.85,95,63.38,24.69,36,54.91,89466,644,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0054,16,64.95,124,75.56,36.37,41,67.51,148520,713,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0055,16,60.83,98,60.83,28.95,26,69.44,111901,685,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0056,12,17.88,74,28.25,14.57,24,71.12,55043,549,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0057,9,45.96,81,30.52,10.44,12,42.29,26178,528,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0058,20,54.11,115,81.86,28.12,46,65.3,14800,681,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0059,21,86.74,114,51.32,21.12,42,55.53,116998,683,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0060,5,10.54,65,28.45,14.06,8,44.53,58461,483,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0061,24,73.34,139,75.27,32.6,47,77.04,95735,788,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0062,4,0.0,19,18.89,3.1,14,5.46,5000,340,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0063,3,18.76,48,21.44,4.35,11,10.14,5000,378,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0064,7,14.73,50,40.17,13.46,10,10.71,50782,415,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0065,13,29.18,52,42.02,12.07,22,34.33,55158,522,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0066,15,37.97,106,64.26,13.41,29,48.9,89411,559,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0067,14,54.38,82,45.86,19.31,25,55.38,67920,609,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0068,19,58.66,120,47.85,12.0,22,46.89,96096,623,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0069,11,57.53,66,34.05,13.66,19,24.2,66007,511,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0070,26,70.59,162,55.84,36.25,54,58.2,125024,792,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0071,12,40.38,99,42.42,16.65,20,40.7,5000,517,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0072,10,31.28,71,65.44,21.12,25,45.04,31857,588,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0073,6,25.01,51,35.65,12.51,17,21.71,33839,462,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0074,13,44.14,99,56.28,28.85,40,43.72,96152,557,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0075,20,75.48,121,64.1,26.26,43,75.5,143063,749,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0076,24,90.92,156,74.46,34.54,54,97.43,104326,834,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0077,19,69.75,110,68.46,22.05,33,50.48,67012,650,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0078,19,46.01,99,73.97,25.27,31,55.51,26679,616,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0079,13,52.55,81,58.38,16.0,25,54.07,82300,545,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0080,17,59.99,115,67.18,30.94,32,51.12,69287,720,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0081,7,34.53,74,39.65,12.03,21,37.59,128675,477,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0082,18,52.67,104,60.64,29.4,40,59.3,63712,625,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0083,15,44.66,87,42.69,21.99,26,34.53,122958,576,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0084,18,74.91,107,42.07,22.64,34,59.51,98064,616,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0085,27,76.83,138,59.52,32.06,48,74.14,73991,734,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0086,10,28.04,43,29.75,10.17,11,32.95,46169,491,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0087,18,51.58,107,50.76,22.76,38,39.96,94540,628,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0088,12,72.03,63,33.18,17.61,28,47.69,61337,568,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0089,16,70.47,97,56.12,19.94,33,74.0,100229,653,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
